pop	lat	long	SV	0	1	2	sv_name
PET_14	40.55035	-109.91641	Ha412HOChr17.syn1	0	2	8	pet17.01
PET_15	40.69709	-105.61168	Ha412HOChr17.syn1	3	6	1	pet17.01
PET_16	40.38047	-104.52282	Ha412HOChr17.syn1	6	3	1	pet17.01
PET_17	40.15158	-104.60307	Ha412HOChr17.syn1	9	1	0	pet17.01
PET_18	39.9137	-104.61456	Ha412HOChr17.syn1	1	9	0	pet17.01
PET_19	39.63705	-104.33484	Ha412HOChr17.syn1	2	7	1	pet17.01
PET_20	38.3336	-98.83812	Ha412HOChr17.syn1	10	0	0	pet17.01
PET_21	38.33349	-98.69159	Ha412HOChr17.syn1	9	1	0	pet17.01
PET_22	38.56505	-97.96174	Ha412HOChr17.syn1	10	0	0	pet17.01
PET_23	37.676	-97.40646	Ha412HOChr17.syn1	9	0	0	pet17.01
PET_24	37.37939	-97.8877	Ha412HOChr17.syn1	6	0	0	pet17.01
PET_25	36.83371	-98.6481	Ha412HOChr17.syn1	10	0	0	pet17.01
PET_26	36.56341	-98.88941	Ha412HOChr17.syn1	9	0	0	pet17.01
PET_27	36.558	-98.89537	Ha412HOChr17.syn1	9	0	0	pet17.01
PET_28	36.79928	-98.24968	Ha412HOChr17.syn1	9	0	0	pet17.01
PET_29	36.9134	-99.23544	Ha412HOChr17.syn1	9	0	0	pet17.01
PET_30	36.40753	-99.55589	Ha412HOChr17.syn1	9	0	0	pet17.01
PET_31	35.19473	-100.72366	Ha412HOChr17.syn1	4	4	0	pet17.01
