pop	lat	long	SV	0	1	2	sv_name
GSD	37.773	-105.553	Ha412HOChr16.syn1	3	10	7	pet16.01
Mon	31.61642	-102.81197	Ha412HOChr16.syn1	16	1	1	pet16.01
PET_01	35.1371	-111.64211	Ha412HOChr16.syn1	0	0	10	pet16.01
PET_02	34.91703	-111.90977	Ha412HOChr16.syn1	0	0	10	pet16.01
PET_03	35.33119	-111.54146	Ha412HOChr16.syn1	0	2	8	pet16.01
PET_04	35.39031	-111.57754	Ha412HOChr16.syn1	0	0	10	pet16.01
PET_05	35.15387	-109.50207	Ha412HOChr16.syn1	0	0	10	pet16.01
PET_06	35.51651	-105.68484	Ha412HOChr16.syn1	0	0	10	pet16.01
PET_07	36.49673	-104.57014	Ha412HOChr16.syn1	0	0	10	pet16.01
PET_08	37.52901	-105.297	Ha412HOChr16.syn1	0	0	10	pet16.01
PET_09	37.66278	-105.64088	Ha412HOChr16.syn1	0	0	8	pet16.01
PET_10	38.47747	-106.08848	Ha412HOChr16.syn1	0	0	10	pet16.01
PET_11	38.48952	-107.03795	Ha412HOChr16.syn1	0	0	9	pet16.01
PET_12	36.90004	-112.91885	Ha412HOChr16.syn1	0	0	9	pet16.01
PET_13	37.23794	-112.85064	Ha412HOChr16.syn1	0	0	9	pet16.01
PET_32	31.74298	-110.68913	Ha412HOChr16.syn1	0	0	10	pet16.01
PET_33	31.47593	-110.25758	Ha412HOChr16.syn1	0	0	10	pet16.01
PET_34	31.38092	-110.06893	Ha412HOChr16.syn1	0	0	10	pet16.01
PET_35	31.68887	-109.1337	Ha412HOChr16.syn1	0	2	8	pet16.01
PET_43	32.42618	-106.54787	Ha412HOChr16.syn1	0	0	10	pet16.01
PET_46	31.43995	-102.87508	Ha412HOChr16.syn1	9	1	0	pet16.01
PET_47	31.63659	-102.81704	Ha412HOChr16.syn1	10	0	0	pet16.01
PET_48	31.71853	-103.03201	Ha412HOChr16.syn1	7	0	0	pet16.01
PET_49	31.95354	-102.97878	Ha412HOChr16.syn1	9	0	0	pet16.01
PET_50	32.50941	-102.04615	Ha412HOChr16.syn1	2	4	4	pet16.01
