sample group median
SAM227 HA 18.9741
SAM167 RHA 18.2049
SAM060 RHA 17.0456
SAM256 RHA 16.3096
SAM003 HA 15.8849
SAM191 RHA 15.6719
SAM262 HA 15.4573
SAM011 RHA 14.8198
SAM179 RHA 14.798
SAM226 HA 14.6638
SAM183 HA 14.5683
SAM021 HA 14.5246
SAM027 HA 14.4713
SAM237 RHA 14.3162
SAM176 HA 14.2041
SAM172 HA 14.1393
SAM184 RHA 14.0307
SAM053 HA 13.9867
SAM182 HA 13.8506
SAM240 HA 13.8254
SAM034 RHA 13.8092
SAM264 HA 13.7906
SAM185 HA 13.7216
SAM242 RHA 13.7076
SAM094 OPV 13.3187
SAM249 HA 13.3145
SAM218 RHA 13.2455
SAM020 HA 13.233
SAM096 RHA 13.1562
SAM255 OPV 13.152
SAM232 RHA 13.0269
SAM219 HA 12.9192
SAM163 RHA 12.8356
SAM153 HA 12.747
SAM054 RHA 12.7403
SAM120 RHA 12.7115
SAM062 HA 12.6719
SAM069 HA 12.5342
SAM267 HA 12.4058
SAM093 OPV 12.2283
SAM280 RHA 12.1803
SAM071 HA 12.1654
SAM133 HA 12.1381
SAM283 RHA 12.0563
SAM175 HA 12.0427
SAM106 RHA 12.0347
SAM113 HA 11.9727
SAM165 RHA 11.8657
SAM274 RHA 11.7722
SAM261 HA 11.7413
SAM070 HA 11.5931
SAM118 RHA 11.4759
SAM010 HA 11.4711
SAM107 RHA 11.4399
SAM139 HA 11.4157
SAM074 HA 11.1985
SAM166 RHA 11.1298
SAM068 HA 10.9432
SAM147 HA 10.8837
SAM215 RHA 10.8482
SAM288 RHA 10.7603
SAM138 HA 10.7153
SAM279 RHA 10.4565
SAM035 HA 10.4508
SAM039 HA 10.4037
SAM023 RHA 10.2165
SAM169 RHA 10.1167
SAM111 HA 9.83202
SAM036 HA 9.75088
SAM197 HA 9.60135
SAM281 RHA 9.57309
SAM033 RHA 9.50718
SAM012 RHA 9.35374
SAM203 RHA 9.25742
SAM099 RHA 9.03617
SAM057 RHA 8.90762
SAM276 RHA 8.71584
SAM275 HA 8.66957
SAM233 HA 8.62389
SAM102 RHA 8.4213
SAM170 HA 8.40922
SAM008 RHA 8.29938
SAM164 RHA 7.83357
SAM022 RHA 7.73658
SAM194 HA 7.54043
SAM231 HA 7.41401
SAM225 HA 7.28832
SAM210 HA 7.11911
SAM212 HA 6.8171
SAM221 HA 6.65363
SAM050 HA 6.64501
SAM209 HA 6.49343
SAM032 RHA 6.43941
SAM002 HA 6.3621
SAM159 HA 6.22348
SAM251 RHA 6.1547
SAM141 HA 5.90238
SAM260 OPV 5.82184
SAM042 RHA 5.82143
SAM282 HA 5.701795
SAM017 HA 5.51955
SAM271 RHA 5.45833
SAM259 HA 5.35807
SAM026 HA 5.27608
SAM195 RHA 5.22943
SAM007 HA 5.19901
SAM207 RHA 5.14778
SAM101 RHA 5.14207
SAM173 HA 4.8771
SAM104 HA 4.84651
SAM056 RHA 4.71907
SAM078 HA 4.7136
SAM013 RHA 4.67167
SAM171 HA 4.5701
SAM005 HA 4.48915
SAM257 OPV 4.48587
SAM043 HA 4.4717
SAM134 HA 4.34588
SAM117 RHA 4.34565
SAM247 HA 4.210865
