variable	type
latitude_e	Location
longitude_e	Location
elevation_e	Location
MAT_e	Temperature
MWMT_e	Temperature
MCMT_e	Temperature
TD_e	Temperature
MAP_e	Precipitation
MSP_e	Precipitation
AHM_e	Combined
SHM_e	Combined
DD_0_e	Temperature
DD5_e	Temperature
DD_18_e	Temperature
DD18_e	Temperature
NFFD_e	Temperature
bFFP_e	Temperature
eFFP_e	Temperature
FFP_e	Temperature
PAS_e	Combined
EMT_e	Temperature
EXT_e	Temperature
Eref_e	Combined
CMD_e	Combined
MAR_e	Temperature
RH_e	Precipitation
OM	Soil
P1	Soil
P2	Soil
BICARB	Soil
K	Soil
MG	Soil
CA	Soil
sodium	Soil
pH	Soil
CEC	Soil
PERCENT_K	Soil
PERCENT_MG	Soil
PERCENT_CA	Soil
PERCENT_NA	Soil
SOL_SALTS	Soil
